tweet,label
Rewriting chapter 1/28 of Dratillia and listning to Utada Hikaru  *starting to want food.....Sushi would be nice !!!*,4
@paperstainer thanks kuya Efren ,4
Tchau. Vou sair do TweetDeck. Continuo upando o vï¿½deo ,4
"im lonely  keep me company! 22 female, Duluth - Minnesota",0
@jfpoilpret actually i didn't ! i have a great name now if i ever want to open a massage parlor  (no i won't be the one *massaging*),4
"I really want a new job  not particually a better one, just a new one....",0
@AshleyBeth89 no! everytime i wanted too...i couldn't...i wanna go..i didnt tell you this...I might go to live in Peru this year! ,0
Shopping! ,4
@HypeBigelow Lol classics right. Sorry u gotta work but at least you gotta job right? ,4
"some of the people on the show The Cougar are younger than me,  am i old? lol,",0
is getting ready to install our BI stack again ,4
@bobbyllew http://twitpic.com/3jc7e - The one day i'm not in norwich ,0
@jmyching wonder how you 'loose' an attendant? I seem to like air Canada better ,4
still high from primer fumes... and joe said i have to put on a second coat ,0
I am going to try this to see if it sucks ,4
@notsooglam Very true. I remember the old Degrassi back in the day too. I think adults young at heart can relate to a point as well. ,4
whitout friends ,0
Ugh. I'm so burnt. ,0
@RDIZZAL Lol yes it is super exclusive &amp; invite only! It's nice 2 go out &amp; not get hounded by grimey men.At least here there is potential ,4
Done  accomplished and yet... nervous x],4
"@retaliashun No, but I have a 2-ton crane. Come to think of it, an hydraulic press would be a nice thing to have. ",4
@holly_Dougiemad my mum could have droped you home ,0
@Inga_Ros It is going to be a good day ,4
In the studioo with thee bestiee Daniel! finally fooddd!! ,4
I got called by an ex's name for the second time in my life ,0
Wanted to see wassup with the twitter craze ,4
"washing up donee, farrr to much effort! for 106 a week it would be awful nice to have a dish washer ",4
@angelicabarros indoors @ work on this beautiful 80 degree day ,0
"@Dr_Black yes, i was invited but will be in San Francisco. Very sorry to miss it ",0
sleeeeeep. pride in the morning ,4
@hungryworship does that mean you're going to kill the eggs...die ,4
Man Work is Hard ,0
@trvsbrkr http://twitpic.com/3hvz1 - Awesome! -Lily ,4
@princessbuddha im having the same problem.. i never drive anymore! ,0
asks anyone still up?  http://plurk.com/p/os8k5,4
wanna have Who You Callin' Money Grubbin by The Beach Girlz ,0
@Valvert : have a nice day to ,4
is officially missing youuuu ,4
@StarJonesEsq this is going to be my new daily inspirational statement. Thank you ,4
is back ,4
@nmyers89 the FIRST TIME :o whoa Nick I'm surprised you didn't get him addicted earlier. Also am trying to work things out just in pain ,0
just wants everything to be okay. ,0
"@AndrewRimmer From what I have seen, there is just a batch file to execute and your are done ",4
"feels bad for my dad, he's got a fractured rib   Ouch!",0
